,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg180102,6920,160,252,198
1,ipg180109,6921,147,237,178
2,ipg180116,5591,113,182,136
3,ipg180123,5503,110,184,130
4,ipg180130,6819,154,236,182
5,ipg180206,5505,123,206,143
6,ipg180213,6825,177,258,205
7,ipg180220,6841,171,262,203
8,ipg180227,6869,185,285,214
9,ipg180306,6867,111,190,132
10,ipg180313,5497,103,173,130
11,ipg180320,6834,174,261,196
12,ipg180327,6833,128,213,155
13,ipg180403,6404,134,223,165
14,ipg180410,7030,127,216,156
15,ipg180417,6790,147,255,192
16,ipg180424,6684,168,263,195
17,ipg180501,6817,138,230,168
18,ipg180508,6845,178,274,207
19,ipg180515,6842,161,257,184
20,ipg180522,6634,174,270,194
21,ipg180529,6893,120,191,140
22,ipg180605,6860,126,193,154
23,ipg180612,6879,135,209,160
24,ipg180619,5488,108,197,135
25,ipg180626,6465,143,223,170
26,ipg180703,6531,156,244,185
27,ipg180710,6529,152,237,184
28,ipg180717,7225,176,276,206
29,ipg180724,6554,168,247,192
30,ipg180731,5300,124,193,141
31,ipg180807,6731,152,243,173
32,ipg180814,7035,179,289,221
33,ipg180821,6862,130,222,153
34,ipg180828,7027,142,232,175
35,ipg180904,6976,171,250,188
36,ipg180911,6178,178,283,217
37,ipg180918,4557,87,133,105
38,ipg180925,5465,123,209,148
39,ipg181002,7148,174,278,204
40,ipg181009,6960,158,225,176
41,ipg181016,7162,150,240,176
42,ipg181023,7134,155,240,180
43,ipg181030,6608,148,222,172
44,ipg181106,6653,134,228,169
45,ipg181113,7142,157,240,198
46,ipg181120,7117,162,271,187
47,ipg181127,7077,175,273,205
48,ipg181204,6906,141,248,184
49,ipg181211,5694,112,193,134
50,ipg181218,4942,125,194,150
51,ipg181225,7135,133,230,171
