,publication_number,patent_title,appl_type,negative_text
0,US10165738B2,Blow operation device,utility,"['<p id=""p-0006"" num=""0005"">The demand trends for blow operation devices are shifting from engine-driven ones to electric-motor-driven ones, in consideration of environmental issues such as gas emission and noise. An electric-motor-driven blow operation device includes, as heavy objects, a battery and an electric motor. In the technique described above, the battery is a backpack type, but the blower having a heavy electric motor is held with one\'s hand for an operation. Therefore, a corresponding burden of heavy weight cannot be avoided.</p>', '<p id=""p-0007"" num=""0006"">In the conventional technique in which an operation is done while a blower portion of the blower is held with one\'s hand, the blower portion including the heavy electric motor and the like is supported by one arm. Since the reaction force from blowing air is added to the arm during the operation, there is a problem that fatigue in the arm increases as the operation makes progress. Particularly with a blowing-and-gathering operation by blowing air, an efficient operation can be performed by blowing and gathering generated compressed air from both the right and left. However, to realize this, the blower portion of the blower needs to be held respectively by both right and left arms to blow air from two directions, and there has been a problem that the burden on the arms of an operator further increases.</p>', '<p id=""p-0008"" num=""0007"">Addressing such a problem is one example of an issue of the present invention. That is, the issue of the present invention is to, for example, reduce the burden of heavy weight on an operator and further reduce fatigue in an arm of the operator, with an electric-motor-driven blow operation device.</p>']"
1,US10165776B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0015"" num=""0013"">An object of the present invention is to provide a compound that has superior characteristics as an herbicide ingredient, such as having a wide herbicidal spectrum including weeds that are resistant to existing herbicides, being able to control worst weeds of higher leaf stages that present practical problems, and not causing phytotoxicity to crops such as paddy rice.</p>']"
2,US10165777B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0015"" num=""0013"">An object of the present invention is to provide a compound that has superior characteristics as an herbicide ingredient, such as having a wide herbicidal spectrum including weeds that are resistant to existing herbicides, being able to control worst weeds of higher leaf stages that present practical problems, and not causing phytotoxicity to crops such as paddy rice.</p>']"
3,US10165779B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0015"" num=""0017"">An object of the present invention is to provide a compound that has superior characteristics as an herbicide ingredient, such as having a wide herbicidal spectrum including weeds that are resistant to existing herbicides, being able to control worst weeds of higher leaf stages that present practical problems, and not causing phytotoxicity to crops such as paddy rice.</p>']"
4,US10165942B2,"Optical tomographic imaging apparatus, control method therefor, and program therefor",utility,"['<p id=""p-0007"" num=""0006"">In general, an OCT apparatus used for such a fundus inspection as described above conducts a focus adjustment based on a diopter of an eye to be inspected. The focus adjustment is conducted by moving a focus adjustment mechanism inside the apparatus so that the image becomes brighter by bringing a light used for an inspection into focus on a fundus portion of the eye to be inspected. On the other hand, use of the above-mentioned wide angle lens adapter requires the focus adjustment to be conducted at a position different from a predetermined position, but a focus position may deviate from a focus adjustment range (movable range of the focus lens) of the eye to be inspected depending on a change amount of the focus position. Therefore, the adjustment to an optimal focus position becomes unable to be conducted, or the focus adjustment itself becomes difficult. Further, the OCT apparatus is further demanded to have an optical system exhibiting a narrower field angle in order to acquire the tomographic image within a narrower fundus range with high resolution power, which leads to the same problem.</p>', '<p id=""p-0008"" num=""0007"">In view of the above-mentioned problem, one object of the present invention is to enable the focus adjustment with respect to an object to be inspected even when an optical member for changing a field angle is inserted in order to change the field angle of an image acquiring area of the tomographic image, and to acquire a clear tomographic image with a focus on the object to be inspected.</p>']"
5,US10165958B2,"Method for detecting position of signal source in living body, and device for detecting position of signal source in living body",utility,"['<p id=""p-0006"" num=""0005"">Unfortunately, according the method of Patent Document 1, the measurement need to be performed with a large number of electrodes arranged on a living body without space between the electrodes. Therefore, a considerable burden is imposed on the living body. A decrease in the number of the electrodes will reduce the burden on the living body, but enables acquisition of electric potential distributions in low resolution.</p>', '<p id=""p-0007"" num=""0006"">It is therefore an object of the present invention to provide a method and a device which are capable of detecting a position of a signal source in a living body with high accuracy by using a small number of electrodes.</p>']"
6,US10165990B2,Intraoral X-ray detector,utility,"['<p id=""p-0009"" num=""0008"">To solve the prior technical problem, this invention provides an intraoral X-ray detector which a sensor unit can be freely movable by a hinged connection between the sensor unit and a cable connecting unit which is connected to an external cable, and an external cable or a cable connecting unit can be easily replaceable when defects or damages are found in the external cable or the cable connecting unit.</p>']"
7,US10165993B2,X-ray imagin device with distributed X-ray source,utility,"['<p id=""p-0013"" num=""0012"">As a result of efforts to reduce the size of an X-ray radiography device and minimize image distortion of a radiograph, the inventors have completed the present invention by developing a technical configuration of the X-ray radiography device.</p>', '<p id=""p-0014"" num=""0013"">Therefore, an object of the present invention is to provide an X-ray radiography device that is decreased in size, has a minimized X-ray detector area, and has reduced image distortion.</p>', '<p id=""p-0015"" num=""0014"">The objects of the present invention are not limited to the above-mentioned objects, and other unmentioned objects thereof will be clearly understood by those skilled in the art from the following descriptions.</p>']"
8,US10165999B2,Radiological-image acquisition device,utility,"['<p id=""p-0009"" num=""0008"">However, PTL 1 and NPL 1 disclose that the reset of the active pixel sensors and the read of output are performed within a time (read time) in which the read of output is performed, but there is no disclosure about a technique of controlling a terminal for RESET so as not to perform the reset in the read time. Thus, an image acquisition device including a plurality of active pixel sensors described above has a problem that when all the active pixel sensors are reset for each read time, the read time becomes longer by the time required for the reset and power consumption of the image acquisition device also increases compared to a case where there exists an active pixel sensor that is not reset. An image acquisition device including a radiological-image acquisition panel of an active pixel type according to the related art also has a problem similar to the aforementioned problem because all the active pixel sensors are reset for each time required to read data for one two-dimensional image.</p>', '<p id=""p-0010"" num=""0009"">The invention was made to solve the aforementioned problems and an object thereof is to provide a radiological-image acquisition device that realizes improvement of a frame rate and suppression of power consumption by reducing a total time for acquiring data for a two-dimensional image.</p>']"
9,US10166016B2,Medical retractor,utility,"['<p id=""p-0012"" num=""0011"">However, the steel-made utensils have various other drawbacks besides the above-mentioned drawbacks. For example, when a medical operating instrument is disposed on the periphery of a field of operation, the instrument shields the field of operation and the periphery of the field of operation so that visibility of the field of operation and the periphery of the field of operation is lowered thus obstructing an operation. To be more specific, with respect to an operation target part located in a deep part of a human body, it is necessary to change a degree of incision between a superficial layer tissue and a deep layer tissue and hence, it is necessary to use both a first wound retractor which retracts a tissue on a superficial layer side and a second wound retractor which retracts a tissue on a deep layer side at the same time. In this case, there is a possibility that a tissue incised by the first wound retractor is shielded by the second wound retractor and this shielding of the tissue is one of factors which lower the visibility of the field of operation.</p>', '<p id=""p-0013"" num=""0012"">This drawback relating to visibility of a field of operation has a possibility of becoming conspicuous with the plastic-made wound retractor disclosed in above-mentioned patent literature 1 when compared to a metal-made wound retractor. That is, plastic is inferior to metal in strength and hence, to enable a plastic-made wound retractor to acquire a strength equivalent to a strength of a steel-made wound retractor, a size of the plastic wound retractor is liable to become larger and hence, there is a high possibility that visibility of a field of operation is lowered compared to a case where a metal-made wound retractor is used.</p>', '<p id=""p-0014"" num=""0013"">The present invention has been made in view of such circumstances, and it is an object of the present invention to provide a medical retractor capable of ensuring visibility of a field of operation and in the periphery of the field of operation while realizing the reduction of weight of the retractor compared to a conventional steel-made retractor. It is another object of the present invention to provide a medical retractor capable of enhancing visibility of a field of operation and in the periphery of the field of operation compared to a conventional steel-made retractor.</p>']"
