,publication_number,patent_title,appl_type,neutral_text
0,US10165738B2,Blow operation device,utility,"['<p id=""p-0009"" num=""0008"">In order to resolve such an issue, a blow operation device of the present invention is provided with at least the following configuration.</p>', '<p id=""p-0010"" num=""0009"">A blow operation device includes: a backpack type frame; a battery attached to the frame; a blower body having an electric motor to which power is fed from the battery and having an axial fan driven by the electric motor; and a blower tube connected to a blow side of the blower body, the frame including a back contact surface, and the blower body being attached to the frame such that axial directions of the electric motor and the axial fan are along the back contact surface.</p>']"
1,US10165776B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0016"" num=""0014"">As a result of conducting extensive studies to achieve the aforementioned object, the inventors of the present invention found that a pyrazolylpyrazole derivative having a specific chemical structure especially exhibits a wide herbicidal spectrum over a long period of time, demonstrates superior herbicidal efficacy against worst weeds of higher leaf stages, and has adequate safety with respect to cultivated crops, thereby leading to completion of the present invention on the basis of these findings. Thus, the present invention provides a pyrazolylpyrazole derivative in the form of a compound represented by the following formula (I):</p>', '<p id=""p-0017"" num=""0015""><chemistry id=""CHEM-US-00002"" num=""00002"">']"
2,US10165777B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0016"" num=""0014"">As a result of conducting extensive studies to achieve the aforementioned object, the inventors of the present invention found that a pyrazolylpyrazole derivative having a specific chemical structure especially exhibits a wide herbicidal spectrum over a long period of time, demonstrates superior herbicidal efficacy against worst weeds of higher leaf stages, and has adequate safety with respect to cultivated crops, thereby leading to completion of the present invention on the basis of these findings. Thus, the present invention provides a pyrazolylpyrazole derivative in the form of a compound represented by the following formula (I):</p>', '<p id=""p-0017"" num=""0015""><chemistry id=""CHEM-US-00002"" num=""00002"">']"
3,US10165779B2,Substituted pyrazolylpyrazole derivative and use of same as herbicide,utility,"['<p id=""p-0016"" num=""0018"">As a result of conducting extensive studies to achieve the aforementioned object, the inventors of the present invention found that a pyrazolylpyrazole derivative having a specific chemical structure especially exhibits a wide herbicidal spectrum over a long period of time, demonstrates superior herbicidal efficacy against worst weeds of higher leaf stages, and has adequate safety with respect to cultivated crops, thereby leading to completion of the present invention on the basis of these findings. Thus, the present invention provides a pyrazolylpyrazole derivative in the form of a compound represented by the following formula (I):</p>', '<p id=""p-0017"" num=""0019""><chemistry id=""CHEM-US-00002"" num=""00002"">']"
4,US10165942B2,"Optical tomographic imaging apparatus, control method therefor, and program therefor",utility,"['<p id=""p-0009"" num=""0008"">In order to solve the above-mentioned problem, according to one embodiment of the present invention, there is provided an optical tomographic imaging apparatus, including:</p>', '<p id=""p-0010"" num=""0009"">a light source;</p>', '<p id=""p-0011"" num=""0010"">an optical splitter configured to split a light emitted from the light source into a measuring light and a reference light;</p>', '<p id=""p-0012"" num=""0011"">a scanning unit configured to scan an object to be inspected with the measuring light;</p>', '<p id=""p-0013"" num=""0012"">an optical system configured to irradiate the object to be inspected with the measuring light through the scanning unit;</p>', '<p id=""p-0014"" num=""0013"">a detector configured to receive an interference light between a return light of the measuring light from the object to be inspected and the reference light; and</p>', '<p id=""p-0015"" num=""0014"">a calculation processing portion configured to process an output signal from the detector, to thereby acquire a tomographic image of the object to be inspected, in which:</p>', '<p id=""p-0016"" num=""0015"">the optical system includes a focus lens configured to focus the measuring light on the object to be inspected; and</p>', '<p id=""p-0017"" num=""0016"">the optical tomographic imaging apparatus further includes a unit configured to compensate, when an optical member for changing a field angle is inserted between the scanning unit and the object to be inspected in order to change the field angle of an image acquiring area of the tomographic image, a change in a focus position of the focus lens in association with the inserting.</p>']"
5,US10165999B2,Radiological-image acquisition device,utility,"['<p id=""p-0011"" num=""0010"">In order to solve the aforementioned problems, a radiological-image acquisition device according to an aspect of the invention is a radiological-image acquisition device that acquires a two-dimensional image according to a dose of radiation that has been radiated to a subject. The radiological-image acquisition device includes a plurality of pixels disposed two-dimensionally; a capacitive element in each of the plurality of pixels, the capacitive element, when the radiation is incident on the plurality of pixels, accumulating electric charge corresponding to the dose for the pixel in at least two sequential frames; and a read control unit that, with respect to at least one of the plurality of pixels, does not perform initialization of the at least one pixel but reads, from the pixel, a first output and a second output which correspond to the accumulated electric charge in each of a first frame and a second frame that constitute the two frames.</p>']"
6,US10166016B2,Medical retractor,utility,"['<p id=""p-0015"" num=""0014"">According to one aspect of the present invention, there is provided a medical retractor which includes: a grip portion; and a resin functional portion made of a transparent resin and extending from the grip portion, wherein the resin functional portion has: a trunk portion which has a proximal end thereof connected to the grip portion; and a hook-shaped portion extending in a hook shape from a distal end of the trunk portion, and the resin functional portion is configured to allow the viewing of an affected part which opposedly faces a back surface of the resin functional portion from a front surface side in a see-through manner.</p>', '<p id=""p-0016"" num=""0015"">According to the medical retractor having such a configuration, an affected part which opposedly faces the back surface side of the resin functional portion is viewable through the hook-shaped portion. Accordingly, an affected part which is disposed in a shadow of the hook-shaped portion and is not viewable if the medical retractor is formed of a steel-made retractor is viewable and hence, visibility of a field of operation can be largely increased compared to a conventional steel-made retractor. Also with respect to the trunk portion, an affected part which opposedly faces the back surface side is viewable and hence, even when a first retractor which retracts a tissue on a superficial layer side and a second retractor which retracts a tissue on a deep layer side are used simultaneously, it is possible to view the tissue which is retracted by the first retractor and is positioned on a back side of the second retractor through the trunk portion of the second retractor. Accordingly, visibility of a field of operation can be enhanced compared to the conventional medical retractor.</p>', '<p id=""p-0017"" num=""0016"">According to one of selective aspects of the present invention, the grip portion incorporates a light source which emits light by means of a power source therein such that the light from the light source is incident on a proximal end of the trunk portion and is transmitted toward the hook-shaped portion whereby visibility of a tissue of an affected part which opposedly faces a back surface of the resin functional portion from a front surface side of the resin functional portion is enhanced.</p>', '<p id=""p-0018"" num=""0017"">With such a medical retractor, not to mention that light which is incident on the proximal end of the trunk portion from the light source of the grip portion is emitted from the distal ends and corner portions of the hook-shaped portion and the like and is irradiated to a tissue of an affected part in the periphery of the medical retractor, leaked light is generated from a wall surface parallel to an advancing direction of light and hence, it is possible to largely increase visibility of a tissue of an affected part which opposedly faces such a wall surface (back surface) when viewed from a wall surface (front surface) on a side opposite to the affected part.</p>', '<p id=""p-0019"" num=""0018"">According to one of selective aspects of the present invention, in the grip portion, a communication passage between a fixing hole in which the resin functional portion is fixed and an accommodating space in which the light source is accommodated are sealed by a sealing material.</p>', '<p id=""p-0020"" num=""0019"">With such a medical retractor, it is possible to prevent a possibility that a liquid (body fluid, drug solution or the like) which has a possibility of being fixed to a connecting portion between the grip portion and the resin functional portion during an operation intrudes into the inside of the grip portion through a gap in the connecting portion. Accordingly, it is possible to eliminate lowering of light emitting intensity of the light source and short-circuiting of an inner electric system.</p>', '<p id=""p-0021"" num=""0020"">According to one of selective aspects of the present invention, the resin functional portion includes a layered structure where layers are stacked so as to have a layer boundary along an extending direction of the trunk portion.</p>', '<p id=""p-0022"" num=""0021"">With such a medical retractor, light which is incident on the resin functional portion from the light source minimally leaks to the outside due to an effect of closing light in the layer boundary and hence, a quantity of light which reaches the hook-shaped portion extending from the distal end of the trunk portion can be increased. Further, by selecting a direction approximately orthogonal to the back surface of the resin functional portion as the direction of the layer boundary, it is possible to ensure leaked light to the back surface side at the same level or above corresponding leaked light when a resin functional portion does not have the layered structure and hence, it is possible to prevent lowering of an effect of enhancing back-surface-side visibility by leaked light.</p>', '<p id=""p-0023"" num=""0022"">According to one of selective aspects of the present invention, the back surface and the front surface of the resin functional portion are respectively formed of a flat surface.</p>', '<p id=""p-0024"" num=""0023"">With such a medical retractor, the back surface and the front surface of the resin functional portion are respectively formed flat and hence, it is possible to ensure favorable visibility of an affected part which opposedly faces the back surface as viewed from a front surface side. Further, it is possible to view the affected part in an actual size.</p>', '<p id=""p-0025"" num=""0024"">According to one of selective aspects of the present invention, the resin functional portion is configured such that at least one of the back surface and the front surface has a convex lens shape.</p>', '<p id=""p-0026"" num=""0025"">With such a medical retractor, an affected part which opposedly faces the back surface is viewed in an enlarged state from a front surface side and hence, while ensuring visibility of the affected part which opposedly faces the back surface of the resin functional portion from the front surface side, it is also possible to view a fine part of a tissue of the affected part.</p>', '<p id=""p-0027"" num=""0026"">According to one of selective aspects of the present invention, at least one of water repellant finish or oil repellant finish is applied to a surface of the resin functional portion.</p>', '<p id=""p-0028"" num=""0027"">With such a medical retractor, an aqueous liquid or an oil-based liquid minimally adheres to the surface of the resin functional portion so that it is possible to prevent as much as possible a case where visibility and light emission through the resin functional portion are lowered by a liquid which has a possibility of being adhered to the resin functional portion during an operation.</p>', '<p id=""p-0029"" num=""0028"">According to one of selective aspects of the present invention, a portion of the hook-shaped portion is formed of a light storage member.</p>', '<p id=""p-0030"" num=""0029"">With such a medical retractor, it is possible to make a portion of the medical retractor emit light even when the medical retractor is not provided with a light source. Further, even in the case where the medical retractor is provided with a light source, when light emission from the light source is stopped due to a power source condition, the light storage member emits light for a fixed time and hence, a field of vision can be maintained to some extent in a field of operation.</p>', '<p id=""p-0031"" num=""0030"">According to one of selective aspects of the present invention, a prism structure which makes light refract and advance is disposed on a bent portion between the trunk portion and the hook-shaped portion.</p>', '<p id=""p-0032"" num=""0031"">With such a medical retractor, light which advances through the trunk portion can easily advance toward the hook portion without being emitted to the outside at the bent portion. Accordingly, a quantity of light irradiated to a field of operation around the hook-shaped portion is increased and leaked light from the hook-shaped portion is also increased and hence, back-surface-side visibility can be enhanced.</p>', '<p id=""p-0033"" num=""0032"">According to one of selective aspects of the present invention, a reflection portion is formed along an outer peripheral surface of the bent portion between the trunk portion and the hook-shaped portion.</p>', '<p id=""p-0034"" num=""0033"">With such a medical retractor, light which advances through the trunk portion can easily advance toward the hook-shaped portion without being emitted to the outside at a bent portion. Accordingly, a quantity of light irradiated to a field of operation around the hook-shaped portion is increased and leaked light from the hook-shaped portion is also increased and hence, back-surface-side visibility can be enhanced.</p>']"
7,US10166040B2,Organ resection tool,utility,"['<p id=""p-0020"" num=""0021"">The inventors of the present invention have studied diligently so as to achieve Object 1, and as a result, found that Object 1 can be achieved by an organ resection tool including a brush-like structure capable of performing microwave irradiation and/or a brush-like structure capable of receiving a microwave, to thereby arrive at the present invention (organ resection tool including a brush structure capable of performing microwave irradiation).</p>', '<p id=""p-0021"" num=""0022"">For example, an organ can be crushed or scraped away by manually abrading the organ with a brush of a solid organ resection tool including a brush structure capable of performing microwave irradiation according to the present invention. Further, the organ can be concurrently coagulated through the microwave irradiation to perform hemostasis.</p>', '<p id=""p-0022"" num=""0023"">Further, the inventors of the present invention have studied diligently so as to achieve Object 2, and as a result, found that Object 2 can be achieved by an organ resection tool having a feature in that a tip end portion of vibration function means (transducer) is positioned in a microwave irradiation range, to thereby arrive at the present invention (organ resection tool including vibration function means with a tip end portion positioned in a microwave irradiation range).</p>', '<p id=""p-0023"" num=""0024"">The organ resection tool including vibration function means with a tip end portion positioned in a microwave irradiation range according to the present invention is capable of crushing tissue in the microwave irradiation range while coagulating the tissue to perform hemostasis.</p>', '<p id=""p-0024"" num=""0025"">That is, the present invention includes the following embodiments.</p>', '<p id=""p-0025"" num=""0026"">1. An organ resection tool, including a brush-like structure capable of performing microwave irradiation and/or a brush-like structure capable of receiving a microwave.</p>', '<p id=""p-0026"" num=""0027"">2. An organ resection tool according to Embodiment 1, in which the organ resection tool includes the brush-like structure capable of performing microwave irradiation and the brush-like structure capable of receiving a microwave.</p>', '<p id=""p-0027"" num=""0028"">3. An organ resection tool according to Embodiment 1 or 2,</p>', '<p id=""p-0028"" num=""0029"">in which the brush-like structure capable of performing microwave irradiation is connected to a central conductor directly or indirectly, and</p>', '<p id=""p-0029"" num=""0030"">in which the brush-like structure capable of receiving a microwave is connected to an external conductor directly or indirectly.</p>', '<p id=""p-0030"" num=""0031"">4. An organ resection tool according to any one of Embodiments 1 to 3, in which the central conductor avoids contact with the external conductor through intermediation of an insulator or via an air gap.</p>', '<p id=""p-0031"" num=""0032"">5. An organ resection tool according to any one of Embodiments 1 to 4, including the following configuration:</p>', '<p id=""p-0032"" num=""0033"">(1) the central conductor having a cylindrical shape;</p>', '<p id=""p-0033"" num=""0034"">(2) the insulator covering a part or all of the central conductor;</p>', '<p id=""p-0034"" num=""0035"">(3) the external conductor covering a part or all of the insulator;</p>', '<p id=""p-0035"" num=""0036"">(4) the brush-like structure capable of performing microwave irradiation being connected to the central conductor directly or indirectly; and</p>', '<p id=""p-0036"" num=""0037"">(5) the brush-like structure capable of receiving a microwave being connected to the external conductor directly or indirectly.</p>', '<p id=""p-0037"" num=""0038"">6. An organ resection tool according to any one of Embodiments 1 to 4, including the following configuration:</p>', '<p id=""p-0038"" num=""0039"">(1) the central conductor having a cylindrical shape with a hollow formed therein;</p>', '<p id=""p-0039"" num=""0040"">(2) a hollow tube (hollow structure) formed by the hollow;</p>']"
8,US10166086B2,Dental therapy apparatus,utility,"['<p id=""p-0007"" num=""0006"">The dental therapy apparatus in accordance with one aspect of the present invention comprises a laser light source emitting laser light having a wavelength within a wavelength region of 5.7 to 6.6 μm; a controller pulse-driving the laser light source and controlling at least one of pulse width and repetition frequency of pulsed laser light emitted from the laser light source; and an irradiation optical system for irradiating a tooth including a carious part with the light emitted from the laser light source. In this dental therapy apparatus, the controller controls at least one of the pulse width and repetition frequency of the pulsed laser light, so as to selectively cut the carious part.</p>', '<p id=""p-0008"" num=""0007"">This structure uses a laser light source which emits laser light having a wavelength within the wavelength region of 5.7 to 6.6 μm and thus can selectively cut a carious part while less affecting sound parts, for example. Further, the controller pulse-drives the laser light source and controls at least one of the pulse width and repetition frequency of the pulsed laser light. This control can change cutting conditions (e.g., cutting speed), whereby the carious part can be cut further selectively. As a result, dental therapies can be performed more surely.</p>', '<p id=""p-0009"" num=""0008"">The controller may switch the control of the laser light source between a first mode of driving the laser light source at a pulse width shorter than a thermal relaxation time of an area irradiated with the pulsed laser light and a repetition frequency lower than that corresponding to the thermal relaxation time and a second mode of driving the laser light source at a pulse width longer than the thermal relaxation time and a repetition frequency higher than that corresponding to the thermal relaxation time.</p>', '<p id=""p-0010"" num=""0009"">Driving the laser light source in the first mode performs cutting with depressed thermal actions. Driving the laser light source in the second mode, on the other hand, makes it easier for heat to diffuse to the outside of the area irradiated with the pulsed laser light emitted from the laser light source. For example, an intraoral soft tissue such as a gum may be ablated when irradiated with laser light. Bleeding occurs in this case, but the soft tissue can coagulate when the surroundings of the irradiated area attain a fixed temperature or higher due to the thermal diffusion, thereby yielding a hemostatic effect. Therefore, even when a soft tissue about a carious part is damaged during cutting the carious part in the first mode, for example, switching to the second mode can stop the soft tissue from bleeding.</p>', '<p id=""p-0011"" num=""0010"">The laser light source may be a quantum cascade laser. Utilizing the quantum cascade laser can make the dental therapy apparatus smaller.</p>']"
9,US10166103B2,Valve cusp sizer,utility,"['<p id=""p-0014"" num=""0013"">The inventor of the present invention diligently studied solutions for the above described problems of the conventional invention and obtained the following knowledge. That is, by removing a grip member and a grip member attachment portion from a conventional valve cusp sizer, and by forming a pinching portion to be held by a clamp, tweezers, or the like, it is possible to dramatically miniaturize the valve cusp sizer while maintaining necessary functions of the valve cusp sizer. The present inventor thought that the problems of the prior arts would be solved based on such knowledge, and completed the present invention. Specifically, the present invention has a structure described below.</p>', '<p id=""p-0015"" num=""0014"">The present invention relates to a valve cusp sizer. The valve cusp sizer is a surgical instrument used for determining (measuring) the size of a valve cusp conforming to the size of a cardiac valve.</p>', '<p id=""p-0016"" num=""0015"">The valve cusp sizer of the present invention includes a front surface <b>10</b> having an arcuate surface form to be abutted against an organism, a back surface <b>20</b> positioned on an opposite surface side of the front surface <b>10</b>, and a pinching portion <b>30</b> protruding from the back surface <b>20</b>. The front surface <b>10</b> is formed in the arcuate surface form so that a central part between left and right ends thereof projects toward a side of the organism. The pinching portion <b>30</b> is formed in a shape to be pinched by a surgical instrument. For example, if the pinching portion <b>30</b> is formed in a shape having flat surfaces at left and right sides thereof, the pinching portion <b>30</b> can be pinched by the surgical instrument.</p>', '<p id=""p-0017"" num=""0016"">Since the valve cusp sizer has the above described structure in which the pinching portion <b>30</b> is provided on the back surface <b>20</b> thereof, the pinching portion <b>30</b> can be pinched by a clamp or tweezers. This structure makes it unnecessary for the valve cusp sizer to be provided with a grip member to be gripped by hands. This grip member is a member occupying the most part of the structure in the conventional valve cusp sizer. Since the grip member may be omitted, the valve cusp sizer of the present invention can be miniaturized dramatically. The valve cusp sizer miniaturized in this manner can be inserted easily into the base of the narrow aorta. Further, a risk of injuring the organism by contacting the valve cusp sizer with the vessel wall of the aorta can be reduced. Moreover, since the valve cusp sizer is miniaturized, a plurality of types (for example, 9 types) of differently-sized valve cusp sizers can be accommodated in a small container. This makes it possible to keep a set of the valve cusp sizers around the operator\'s hand during an operation such as aortic valvuloplasty, and results in shortening an operative time.</p>', '<p id=""p-0018"" num=""0017"">In the valve cusp sizer of the present invention, the front surface <b>10</b> may preferably have left and right contact probe portions <b>11</b>, <b>12</b> at the left and right ends thereof to be contacted with left and right commissure portions of the valve cusp.</p>', '<p id=""p-0019"" num=""0018"">The above described structure, in which the contact probe portions <b>11</b>, <b>12</b> are provided on the front surface <b>10</b>, makes it possible to determine (measure) the size of the patient\'s valve cusp more appropriately.</p>', '<p id=""p-0020"" num=""0019"">In the valve cusp sizer of the present invention, the back surface <b>20</b> may preferably be formed in a shape projecting toward the same direction as the front surface <b>10</b> (for example, an arcuate surface form).</p>', '<p id=""p-0021"" num=""0020"">The above described structure, in which the back surface <b>20</b> is formed in the shape projecting toward the same direction as the front surface <b>10</b>, further miniaturizes the valve cusp sizer. That is, since an attachment portion of a grip member is necessary for the conventional valve cusp sizer (see <figref idref=""DRAWINGS"">FIG. 8</figref>) to be provided on the back surface <b>20</b> thereof, the back surface <b>20</b> projects toward a direction opposite to the front surface <b>10</b>. However, such a shape makes a head portion of the valve cusp sizer large and difficult to be inserted into the narrow aorta. Therefore, in the valve cusp sizer of the present invention, the attachment portion of the grip member has been removed from the back surface <b>20</b>, and the back surface <b>20</b> has been formed in the shape projecting toward the same direction as the front surface <b>10</b> (for example, an arcuate surface form). This structure makes it easy to insert the valve cusp sizer into a narrow portion of the organism.</p>', '<p id=""p-0022"" num=""0021"">In the valve cusp sizer of the present invention, the pinching portion <b>30</b> may preferably be formed to have a length by which the pinching portion <b>30</b> does not protrude beyond left and right back ends <b>21</b>, <b>22</b> of the back surface <b>20</b>.</p>', '<p id=""p-0023"" num=""0022"">By defining the length of the pinching portion <b>30</b> not to exceed a certain length as the above described structure, the valve cusp sizer can be adjusted in an appropriate size. Namely, by adjusting the length of the pinching portion <b>30</b> so that the pinching portion <b>30</b> does not protrude beyond the back ends <b>21</b>, <b>22</b> of the back surface <b>20</b>, it is possible to prevent the pinching portion <b>30</b> from touching the vessel wall and from interfering an insertion of the valve cusp sizer into the aorta.</p>', '<p id=""p-0024"" num=""0023"">In the valve cusp sizer of the present invention, at least left and right side surfaces <b>31</b>, <b>32</b> of the pinching portion <b>30</b> may preferably be formed by a slip stopper <b>71</b>, or a nonslip treatment <b>72</b> may preferably be applied to the at least left and right side surfaces <b>31</b>, <b>32</b> of the pinching portion <b>30</b>.</p>', '<p id=""p-0025"" num=""0024"">By making efforts to prevent slipping for the pinching portion <b>30</b> as the above described structure, the pinching portion <b>30</b> can be pinched by a clamp or tweezers easily.</p>', '<p id=""p-0026"" num=""0025"">In the valve cusp sizer of the present invention, at least a part of the pinching portion <b>30</b> may preferably be inclined upwardly. An inclined state of the pinching portion <b>30</b> includes a state that the pinching portion <b>30</b> stands perpendicular to a placing surface on which the valve cusp sizer is placed.</p>', '<p id=""p-0027"" num=""0026"">The valve cusp sizer of the present invention has a structure to be held from upside by an operator via a clamp or the like. Therefore, if a part of the pinching portion <b>30</b> is inclined upwardly as described above, the operator can easily pinch the pinching portion <b>30</b>. Further, if a part of the pinching portion <b>30</b> is inclined upwardly, it is possible to pinch the pinching portion <b>30</b> by a surgical instrument such as Kelly clamp in a state that a grip member of the surgical instrument is parallel to the inclination depending on the inclination angle. As a result, the valve cusp sizer is abutted against the commissure portions at an appropriate angle, thereby reducing a measurement error.</p>', '<p id=""p-0028"" num=""0027"">Preferably, the valve cusp sizer of the present invention may not be provided with a grip member (see <figref idref=""DRAWINGS"">FIG. 8</figref>) extending upwardly beyond the contact probe portions <b>11</b>, <b>12</b> to be held by hands.</p>']"
