,publication_number,patent_title,appl_type,positive_text
0,USRE047199E1,"Non-contact charging module, electronic apparatus, and non-contact charging apparatus",reissue,"['<p id=""p-0014"" num=""0014"">According to the present invention, it is possible to provide a non-contact charging module which can suppress variation of an L value of a coil provided at the non-contact charging module in both of a case where a magnet provided at the other non-contact charging module serving as a counterpart for power transmission is used and a case where a magnet is not used for positioning a primary side non-contact charging module and a secondary side non-contact charging module, and which can be suitably used in both of a case where a magnet is used and a case where a magnet is not used, and which can realize downsizing and to provide a non-contact charging device using the non-contact charging module.</p>']"
1,US10172307B2,"Plant-adventitious-embryo induction method, plant restoration method, and plant reproduction method",utility,"['<p id=""p-0028"" num=""0027"">Since the method of regenerating a plant of the present invention includes a step of inducing adventitious embryos from calli, it allows stable regeneration of plants from calli. Moreover, since the method of reproducing a plant of the present invention includes a step of inducing adventitious embryos from calli, plants can be stably reproduced, without being affected by weather, seasons or other factors, by tissue culture under a controlled environment. Furthermore, since the method of inducing adventitious embryos of the present invention includes culturing calli in a medium that contains a plant growth hormone and a carbon source to induce the adventitious embryos, it suitably allows adventitious embryo induction.</p>']"
2,US10172357B2,Fungicidal composition and method for controlling plant diseases,utility,"['<p id=""p-0015"" num=""0015"">The combination of the active ingredients in the fungicidal composition of the present invention (hereinafter sometimes referred to as the composition of the present invention) has stable and high controlling effects against plant diseases, particularly preventive and/or curative effects against plant diseases, and thus the present invention is useful for controlling plant diseases.</p>']"
3,US10172374B2,Dried composition and food product containing the same,utility,"['<p id=""p-0025"" num=""0028"">As described above, the present invention can provide dried compositions with various shapes having the heat resistance where the dried composition is less likely to melt even being boiled and restorability (imbibition) and a food product containing the dried composition.</p>']"
4,US10172377B2,"Pet food for dogs, method for manufacture of pet food for dogs, and method for feeding of pet food for dogs",utility,"['<p id=""p-0020"" num=""0019"">According to pet food for dogs of the present invention, for the user, it is possible to easily mix the pet food with dry type pet food and to reduce the time and labor for feeding a dog because the pet food is unlikely to make a container dirty. For the pet, it is possible to improve the palatability for the entirety of the pet food after the pet food and the dry type pet food are mixed and entangled with each other. Therefore, the satisfaction of both of the pet and the user can be improved.</p>']"
5,US10172383B2,Drying device and cigarette wrapping paper manufacturing machine using the drying device,utility,"['<p id=""p-0013"" num=""0012"">According to the present invention, tearing of the web and formation of wrinkles in the web can be suppressed.</p>']"
6,US10172546B2,"Sensor, network system and controlling method for using the same",utility,"['<p id=""p-0012"" num=""0011"">As described above, according to the embodiment, since a non-contact cardiac impulse sensor is employed, even if a person stops indoor, the variation in an electric field resulting from the movement of muscles of the person according to the cardiac impulse or the respiration of the person is detected, thereby improving the accuracy of the detection of the presence/absence of the person. In addition, since the electric field can be detected in all directions without an additional lens, the production cost can be improved.</p>', '<p id=""p-0013"" num=""0012"">In addition, the home network system according to the embodiment controls the automatic on/off operation according to the presence/absence state of a person, controls the lighting operation according to the illuminance control using the sunlight, and controls an air conditioning operation to reduce the whole load. Accordingly, the total power consumption in a building can be reduced.</p>', '<p id=""p-0014"" num=""0013"">Further, a sleep mode is set in the home network system, so that the sleep state/non-sleep state of the person can be determined based on the information from the sensor to control the electronic device.</p>', '<p id=""p-0015"" num=""0014"">In addition, the electronic device is formed in a dongle type so that the sensor can be inserted into the communication module through the outer surface of the electronic device. Accordingly, the detachable communication module can be easily coupled with the sensor.</p>', '<p id=""p-0016"" num=""0015"">According to the embodiment, the sensor enables the selective implementation of various wireless communication schemes, such as a ZigBee scheme, a Wi-Fi scheme, and a Bluetooth scheme. Accordingly, the optimal wireless communication scheme is selected based on the speed/distance/power consumption, so that the effective data transmission/reception and the effective control can be performed.</p>']"
7,US10172579B2,X-ray imaging system,utility,"['<p id=""p-0018"" num=""0017"">The x-ray detection apparatus can be prevented from being separated from a table for a patient due to a small force, and damage to a rail unit due to a long period of use can be prevented.</p>']"
8,US10172764B2,Infusion bag film and infusion bag using infusion bag film,utility,"['<p id=""p-0014"" num=""0013"">According to the invention, it is possible to provide an infusion bag film which has reduced eluate in a pH test, that is, has excellent hot water resistance even when a polyamide resin, which can be heat-sealed in a short period of time at a high temperature but has a problem in the hot water resistance in some cases, is used in a surface layer, and an infusion bag using the infusion bag film.</p>']"
9,US10172779B2,Copolymer having carbosiloxane dendrimer structure and composition and cosmetic containing the same,utility,"['<p id=""p-0027"" num=""0026"">In the copolymer of the present invention, a specific amount of a dendrimer-type silicone, which is not straight-chained but is branched to a high degree, is grafted to the main chain, and the copolymer has good compatibility with various other cosmetic raw materials such as ultraviolet absorbers, in particular, so the copolymer has excellent compounding stability in a system to which an ultraviolet absorber is added. Moreover, since the copolymer of the present invention imparts good water resistance, sebum resistance, luster, and tactile sensation and also demonstrates adherence to the skin, the copolymer has the advantage that it can impart a cosmetic with adhesiveness to the hair or skin in addition to the favorable characteristics described above.</p>', '<p id=""p-0028"" num=""0027"">The cosmetic of the present invention contains the copolymer described above, which yields excellent surface protective characteristics such as water resistance, sebum resistance, luster, tactile sensation, adherence to the hair and skin, and adhesiveness as well as appearance and feel of use.</p>']"
10,US10172806B2,Pharmaceutical composition having abuse deterrent properties,utility,"['<p id=""p-0031"" num=""0036"">The present invention can provide a pharmaceutical composition having abuse deterrent properties that possesses both a physical barrier and a chemical barrier and thereby prevent abuse by an abuser.</p>']"
11,US10173145B2,Carbon dioxide separation system,utility,"['<p id=""p-0014"" num=""0013"">In accordance with the present invention, it becomes possible to realize a carbon dioxide separation system which can reduce equipment cost and its size.</p>']"
12,US10173182B2,"Nucleic acid amplification device, nucleic acid amplification apparatus, and nucleic acid amplification method for transporting reaction solution including target nucleic acid via capillary force to amplify target nucleic acid",utility,"['<p id=""p-0044"" num=""0043"">According to the present invention, a reaction solution can be advanced in the channel without the use of a pump.</p>']"
13,US10173229B2,Electrostatic atomizing device,utility,"['<p id=""p-0016"" num=""0015"">As described earlier, the electrostatic atomizing device of the present invention is configured such that the first electrode and the second electrode are provided in a first opening and a second opening, respectively, which are provided on a first device surface of device surfaces of the electrostatic atomizing device, and the second opening is provided so as to reduce a ratio in which the atomized substance adheres to the first device surface.</p>', '<p id=""p-0017"" num=""0016"">Therefore, the electrostatic atomizing device of the present invention yields an effect of reducing the ratio in which the atomized substance adheres to the device surface.</p>']"
14,US10173242B2,"Method of manufacturing aromatic polyketone film, aromatic polyketone film, substrate provided with aromatic polyketone film, optical element, and image display device",utility,"['<p id=""p-0025"" num=""0023"">According to the invention, it is possible to provide: a method of manufacturing an aromatic polyketone film having improved strength, and excellent transparency and heat resistance; an aromatic polyketone film obtained by the method of manufacturing an aromatic polyketone film; a substrate provided with an aromatic polyketone film having the aromatic polyketone film; as well as an optical element and an image processing device having the substrate.</p>']"
15,US10173282B2,Bonded body and power module substrate,utility,"['<p id=""p-0033"" num=""0032"">According to the present invention, it is possible to provide the bonded body and the power module substrate in which the occurrence of cracking in the ceramic member can be limited when the bonded body and the power module substrate undergo a thermal cycle, and the reliability of bonding between a ceramic member and a Cu member can be improved.</p>']"
16,US10173361B2,Vacuum forming method,utility,"['<p id=""p-0014"" num=""0013"">In the aspect of the present invention, it is possible to provide a vacuum forming method in which good formability, adhesion, productivity, and the like are provided without lifting of a decorative film.</p>']"
17,US10173384B2,Pneumatic tire manufacturing method,utility,"['<p id=""p-0015"" num=""0014"">According to the pneumatic tire manufacturing method of the present invention, the winding step of winding a belt-like ply to form a tread reinforcement layer includes a first winding step of winding the belt-like ply in a spiral manner from a first end portion located on one side of a tire axial direction to a second end portion located on the other side of the tire axial direction while separating side edges of the belt-like ply from each other in turn, and a second winding step of winding the belt-like ply in a spiral manner reversely with respect to the first winding step from the second end portion to the first end portion while separating side edges of the belt-like ply from each other in turn. The tread reinforcement layer manufactured by the step forms a grid tread reinforcement layer having approximately diamond-shaped spaces surrounded by the belt-like ply. The grid tread reinforcement layer has no reinforcement cords in the approximately diamond-shaped spaces, and the material cost can be reduced by the non-use of cords.</p>', '<p id=""p-0016"" num=""0015"">The belt-like ply is formed in an approximately diamond-shaped grid. Accordingly, when tension acts on the reinforcement cords in the area with the tread reinforcement layer, the tension is also transferred to the reinforcement cords in the adjacent areas via the grid belt-like ply. Therefore, the stress applied to the cords is decreased and sufficient strength and durability performance can be maintained only by a small number of cords. Accordingly, the present invention makes it possible to manufacture a pneumatic tire that allows reduction in the amount of cord usage in the tread reinforcement layer while maintaining durability performance.</p>']"
18,US10173404B2,Synthetic resin skin material and method of manufacturing synthetic resin skin material,utility,"['<p id=""p-0024"" num=""0023"">According to the invention, a synthetic resin skin material having tolerance against sunscreen agents such that outer appearance deterioration due to swelling of a surface of the synthetic resin skin material is inhibited even if a sunscreen agent containing an ultraviolet absorbing agent comes into contact with the synthetic resin skin material, and a manufacturing method of a synthetic resin skin material, are provided.</p>']"
19,US10173408B2,"Method for creating separation start portion for layered bodies, device for creating separation start portion, and electronic device manufacturing method",utility,"['<p id=""p-0020"" num=""0019"">According to the peeling starting portion preparing method of the laminate, the peeling starting portion preparing device, and the electronic device manufacturing method of the present invention, a reattachment of a first substrate and a second substrate can be suppressed even when a knife is removed from between the first substrate and the second substrate, and the peeling starting portion can be reliably prepared.</p>']"
20,US10173443B2,"Medium support unit, recording device, and medium support method",utility,"['<p id=""p-0024"" num=""0023"">According to the present invention, it is possible to suppress a rise of the medium supported by the support surface according to the size and shape of the thick part of the medium including the thick part.</p>']"
