Unnamed: 0,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg180102,6920,160,252,198
1,ipg180109,6921,147,237,178
2,ipg180116,5591,113,182,136
3,ipg180123,5503,110,184,130
4,ipg180130,6819,154,236,182
5,ipg180206,5505,123,206,143
6,ipg180213,6825,177,258,205
7,ipg180220,6841,171,262,203
8,ipg180227,6869,185,285,214
9,ipg180306,6867,111,190,132
10,ipg180313,5497,103,173,130
11,ipg180320,6834,174,261,196
12,ipg180327,6833,128,213,155
13,ipg180403,6404,134,223,165
14,ipg180410,7030,127,216,156
15,ipg180417,6790,147,255,192
16,ipg180424,6684,168,263,195
17,ipg180501,6817,138,230,168
18,ipg180508,6845,178,274,207
19,ipg180515,6842,161,257,184
20,ipg180522,6634,174,270,194
21,ipg180529,6893,120,191,140
22,ipg180605,6860,126,193,154
23,ipg180612,6879,135,209,160
24,ipg180619,5488,108,197,135
25,ipg180626,6465,143,223,170
26,ipg180703,6531,156,244,185
27,ipg180710,6529,152,237,184
28,ipg180717,7225,176,276,206
29,ipg180724,6554,168,247,192
30,ipg180731,5300,124,193,141
31,ipg180807,6731,152,243,173
32,ipg180814,7035,179,289,221
33,ipg180821,6862,130,222,153
34,ipg180828,7027,142,232,175
35,ipg180904,6976,171,250,188
36,ipg180911,6178,178,283,217
37,ipg180918,4557,87,133,105
38,ipg180925,5465,123,209,148
39,ipg181002,7148,174,278,204
40,ipg181009,6960,158,225,176
41,ipg181016,7162,150,240,176
42,ipg181023,7134,155,240,180
43,ipg181030,6608,148,222,172
44,ipg181106,6653,134,228,169
45,ipg181113,7142,157,240,198
46,ipg181120,7117,162,271,187
47,ipg181127,7077,175,273,205
48,ipg181204,6906,141,248,184
49,ipg181211,5694,112,193,134
50,ipg181218,4942,125,194,150
51,ipg181225,7135,133,230,171
0,ipg170103,6505,142,222,162
1,ipg170110,6965,163,260,191
2,ipg170117,4973,83,124,100
3,ipg170124,5521,107,172,118
4,ipg170131,6909,141,208,168
5,ipg170207,5485,104,170,121
6,ipg170214,7125,152,226,177
7,ipg170221,7115,122,216,149
8,ipg170228,7123,137,216,163
9,ipg170307,7102,145,247,171
10,ipg170314,5496,139,197,154
11,ipg170321,7112,140,238,178
12,ipg170328,7098,153,254,184
13,ipg170404,6155,118,197,135
14,ipg170411,7579,185,286,216
15,ipg170418,7602,169,243,194
16,ipg170425,7116,130,216,157
17,ipg170502,7117,167,249,189
18,ipg170509,7113,169,257,204
19,ipg170516,7119,149,235,173
20,ipg170523,7099,160,267,184
21,ipg170530,7189,167,256,194
22,ipg170606,7199,143,241,171
23,ipg170613,7218,156,226,186
24,ipg170620,5791,123,189,150
25,ipg170627,7219,173,271,212
26,ipg170704,7056,156,234,172
27,ipg170711,7371,177,259,204
28,ipg170718,7206,172,280,194
29,ipg170725,4212,93,135,106
30,ipg170801,7208,138,216,153
31,ipg170808,7218,164,267,198
32,ipg170815,7229,136,215,154
33,ipg170822,7207,144,222,168
34,ipg170829,7202,153,235,179
35,ipg170905,7199,156,232,177
36,ipg170912,7216,155,248,190
37,ipg170919,7230,148,232,171
38,ipg170926,5778,108,168,124
39,ipg171003,7218,177,285,208
40,ipg171010,7233,144,239,179
41,ipg171017,7203,152,253,184
42,ipg171024,6837,150,229,174
43,ipg171031,7198,155,261,181
44,ipg171107,6858,157,240,186
45,ipg171114,6859,135,201,157
46,ipg171121,6876,153,247,192
47,ipg171128,6873,150,240,178
48,ipg171205,6884,129,230,150
49,ipg171212,5494,124,193,143
50,ipg171219,4796,98,159,113
51,ipg171226,6841,146,219,158
0,ipg160105,6775,114,174,133
1,ipg160112,5525,134,187,149
2,ipg160119,4046,115,152,120
3,ipg160126,6771,115,192,136
4,ipg160202,6784,122,185,141
5,ipg160209,5373,111,161,113
6,ipg160216,6759,120,197,140
7,ipg160223,6746,119,195,146
8,ipg160301,6752,125,183,142
9,ipg160308,5436,115,165,132
10,ipg160315,6769,136,203,145
11,ipg160322,6746,137,208,165
12,ipg160329,6779,134,202,153
13,ipg160405,6778,133,194,151
14,ipg160412,6757,128,207,156
15,ipg160419,6774,145,233,174
16,ipg160426,6782,138,222,160
17,ipg160503,6768,126,200,159
18,ipg160510,6842,133,193,158
19,ipg160517,6754,151,232,175
20,ipg160524,7043,125,192,144
21,ipg160531,6896,113,215,147
22,ipg160607,6883,140,225,157
23,ipg160614,6811,138,205,159
24,ipg160621,5409,100,160,125
25,ipg160628,6319,142,215,160
26,ipg160705,6523,151,220,165
27,ipg160712,6528,143,216,166
28,ipg160719,6513,136,204,158
29,ipg160726,3898,95,139,113
30,ipg160802,6609,127,184,139
31,ipg160809,6798,131,205,157
32,ipg160816,6789,131,190,145
33,ipg160823,6801,158,236,183
34,ipg160830,6793,136,212,147
35,ipg160906,6794,154,217,176
36,ipg160913,6785,142,209,170
37,ipg160920,6895,161,250,182
38,ipg160927,5426,108,172,120
39,ipg161004,6680,171,244,194
40,ipg161011,5988,127,174,143
41,ipg161018,6664,112,172,129
42,ipg161025,6537,127,192,155
43,ipg161101,6300,128,188,150
44,ipg161108,6597,178,269,216
45,ipg161115,6570,170,274,202
46,ipg161122,6915,122,190,142
47,ipg161129,6920,150,256,184
48,ipg161206,6902,162,264,192
49,ipg161213,5499,113,175,127
50,ipg161220,4857,105,169,121
51,ipg161227,7016,146,228,173
0,ipg150106,6396,104,167,114
1,ipg150113,5007,96,131,88
2,ipg150120,3257,61,94,66
3,ipg150127,5204,86,125,107
4,ipg150203,6730,118,171,128
5,ipg150210,5336,120,181,140
6,ipg150217,4804,70,127,86
7,ipg150224,7495,142,215,163
8,ipg150303,7011,120,188,139
